intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",75.21430969238281
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",75.21430969238281
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",75.21430969238281
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",70.99752807617188
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",70.99752807617188
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",73.3804931640625
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",72.10188293457031
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",72.10188293457031
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",74.11196899414062
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",72.5409164428711
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",72.5409164428711
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",72.5409164428711
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",70.99954986572266
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",70.99954986572266
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",70.99954986572266
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",69.4284896850586
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",69.4284896850586
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",69.4284896850586
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",74.11196899414062
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",74.11196899414062
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",80.11830139160156
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",75.82466125488281
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",75.82466125488281
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",76.62428283691406
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",70.99954986572266
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",70.99954986572266
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",70.99954986572266
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",69.4284896850586
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",69.4284896850586
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",69.4284896850586
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",70.06983947753906
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",72.10188293457031
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",72.10188293457031
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",70.99954986572266
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",74.11196899414062
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",74.11196899414062
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",100.33594512939453
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",103.37382507324219
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",99.71471405029297
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",103.37382507324219
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",103.37382507324219
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",99.58726501464844
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",133.5240020751953
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",133.5240020751953
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",133.95606994628906
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",133.89784240722656
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",133.89784240722656
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",133.95606994628906
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",132.97621154785156
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",132.97621154785156
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",133.5240020751953
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",133.95606994628906
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",133.95606994628906
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",133.5240020751953
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",126.70270538330078
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",126.70270538330078
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",129.893798828125
